shape,n_points,eig_index,eigenvalue,uncanon_score,is_uncanonicalizable,spectral_gap
symmetria/human/inst05_noise0.000,896,15,2.18361233,0.203806,False,0.07281064
symmetria/human/inst05_noise0.000,896,16,2.39054592,0.164359,True,0.07281064
symmetria/human/inst05_noise0.000,896,17,2.45636005,0.087403,True,0.07281064
symmetria/human/inst05_noise0.000,896,18,2.71656704,0.212586,False,0.07281064
symmetria/human/inst05_noise0.000,896,19,2.76623866,0.142938,True,0.07281064
symmetria/human/inst05_noise0.010,896,0,0.00000000,2.000000,False,0.07293842
symmetria/human/inst05_noise0.010,896,1,0.07293842,0.226533,False,0.07293842
symmetria/human/inst05_noise0.010,896,2,0.24046472,0.223179,False,0.07293842
symmetria/human/inst05_noise0.010,896,3,0.37409360,0.106799,True,0.07293842
symmetria/human/inst05_noise0.010,896,4,0.54166722,0.177750,False,0.07293842
symmetria/human/inst05_noise0.010,896,5,0.73467683,0.088144,True,0.07293842
symmetria/human/inst05_noise0.010,896,6,0.97089814,0.356129,False,0.07293842
symmetria/human/inst05_noise0.010,896,7,0.99741295,0.266585,False,0.07293842
symmetria/human/inst05_noise0.010,896,8,1.25341743,0.084707,True,0.07293842
symmetria/human/inst05_noise0.010,896,9,1.36881225,0.138843,True,0.07293842
symmetria/human/inst05_noise0.010,896,10,1.41412577,0.172394,False,0.07293842
symmetria/human/inst05_noise0.010,896,11,1.58009941,0.359593,False,0.07293842
symmetria/human/inst05_noise0.010,896,12,1.68193419,0.225130,False,0.07293842
symmetria/human/inst05_noise0.010,896,13,1.78675985,0.118857,True,0.07293842
symmetria/human/inst05_noise0.010,896,14,1.92454058,0.255503,False,0.07293842
symmetria/human/inst05_noise0.010,896,15,2.18885717,0.146667,True,0.07293842
symmetria/human/inst05_noise0.010,896,16,2.33136067,0.162880,True,0.07293842
symmetria/human/inst05_noise0.010,896,17,2.37182676,0.116211,True,0.07293842
symmetria/human/inst05_noise0.010,896,18,2.65370507,0.238879,False,0.07293842
symmetria/human/inst05_noise0.010,896,19,2.76698325,0.092786,True,0.07293842
symmetria/human/inst05_noise0.050,896,0,-0.00000000,2.000000,False,0.07532294
symmetria/human/inst05_noise0.050,896,1,0.07532294,0.229747,False,0.07532294
symmetria/human/inst05_noise0.050,896,2,0.24870705,0.208427,False,0.07532294
